,Filename,Mean_Street_Quality,Distance,Speed,Relevant
649,Ecosense/bikeride-gps-46f859602b59dd54346c16cb9dc85ef52907203d.csv,8.0,4272.0,3.0,True
613,Ecosense/bikeride-gps-3a3366f695af30d30e7d0036070ee011d21a4d99.csv,9.0,1103.0,4.0,True
857,Ecosense/bikeride-gps-e185f85597ef386a5c11b926afe8ddc619b44063.csv,10.0,889.0,4.0,True
982,Ecosense/bikeride-gps-b90e6b7f9dd37a993b036fb95d1c219c31a0c8ad.csv,10.0,827.0,4.0,True
1158,Ecosense/bikeride-gps-cbe1150bdf71c7ba23e4a83f3e630d47966001da.csv,10.0,2077.0,3.0,True
647,Ecosense/bikeride-gps-46d90654dee855743e646d84fedfc11c0b719331.csv,11.0,2770.0,9.0,True
301,Ecosense/bikeride-gps-aa8fede2b31ed361bc5e4fe5a2ffffc7da5fa177.csv,11.0,5198.0,5.0,True
127,Ecosense/bikeride-gps-61576e0ae5cbb48bc1e5520dc358db9f9f87596d.csv,11.0,4624.0,4.0,True
512,Ecosense/bikeride-gps-18e7c7608eea979ffd7f427f5a154ac49493fa54.csv,11.0,7965.0,4.0,True
877,Ecosense/bikeride-gps-d5be630199edad306ef01d6c2106aadf4edf98fc.csv,11.0,2731.0,4.0,True
95,Ecosense/bikeride-gps-23456e8448ef97ee44e63f9ab892f684ce0fbdce.csv,12.0,3117.0,7.0,True
810,Ecosense/bikeride-gps-8bac815491504c7bceaebaba211f82a35caeda96.csv,12.0,1566.0,7.0,True
193,Ecosense/bikeride-gps-86b4f5a562b5ea57a6d468ea162e56ba3c08f1b2.csv,12.0,882.0,6.0,True
625,Ecosense/bikeride-gps-3c1e4798cc05844bda5e59619e59a5dce37e55de.csv,12.0,1584.0,6.0,True
408,Ecosense/bikeride-gps-5144637f15c0c7ed3c0def7eef8d86f05d670f56.csv,12.0,2113.0,5.0,True
893,Ecosense/bikeride-gps-c90a9e2e7bc348dc8d7929a62b8064f550c949d1.csv,12.0,2434.0,4.0,True
1140,Ecosense/bikeride-gps-e03591003a3ee25e7ca692c7d5aba280379d793c.csv,12.0,4600.0,4.0,True
1228,Ecosense/bikeride-gps-d97cc86f84acfff0df5bfee052bcaf9be56e9fac.csv,12.0,4249.0,4.0,True
169,Ecosense/bikeride-gps-9782caabaa030efcff8c2c9d6d987845102d7a2e.csv,13.0,2049.0,6.0,True
828,Ecosense/bikeride-gps-9aa3eec378e8501198e7dcfb12f6e8c1bf5b0254.csv,13.0,2554.0,6.0,True
